country,Item,Area Kha,"Area (1000, Ha)",source
Kenya,Arable land,5800000,5800,
Kenya,Cropland,6410000,6410,
Kenya,Permanent crops,610000,610,
Kenya,Temporary crops,4180346.2,4180.3462,
Kenya,Temporary fallow,702562.6,702.5626,
Kenya,Temporary meadows and pastures,917091.2,917.0912,
Kenya,Adjusted Arable land,4882908.8,4882.9088,
Malawi,Arable land,3878000,3878,
Malawi,Cropland,4078000,4078,
Malawi,Permanent crops,200000,200,
Malawi,Temporary crops,2978752.1,2978.7521,
Malawi,Temporary fallow,469747.9,469.7479,
Malawi,Temporary meadows and pastures,429500,429.5,
Malawi,Adjusted Arable land,3448500,3448.5,
Rwanda,Arable land,1192000,1192,
Rwanda,Cropland,1502000,1502,
Rwanda,Permanent crops,310000,310,
Rwanda,Temporary crops,1069000,1069,
Rwanda,Temporary fallow,115000,115,
Rwanda,Temporary meadows and pastures,8000,8,
Rwanda,Adjusted Arable land,1184000,1184,
Uganda,Arable land,6900000,6900,
Uganda,Cropland,9100000,9100,
Uganda,Permanent crops,2200000,2200,
Uganda,Temporary crops,5299997.3,5299.9973,
Uganda,Temporary fallow,835807.2,835.8072,
Uganda,Temporary meadows and pastures,764195.5,764.1955,
Uganda,Adjusted Arable land,6135804.5,6135.8045,
Tanzania,Arable land,13321100,13321.1,
Tanzania,Cropland,15309700,15309.7,
Tanzania,Permanent crops,1988600,1988.6,
Tanzania,Temporary crops,10896700,10896.7,
Tanzania,Temporary fallow,1547300,1547.3,
Tanzania,Temporary meadows and pastures,877100,877.1,
Tanzania,Adjusted Arable land,12444000,12444,
Zambia,Arable land,3800000,3800,
Zambia,Cropland,3839000,3839,
Zambia,Permanent crops,39000,39,
Zambia,Temporary crops,2918839.1,2918.8391,
Zambia,Temporary fallow,460299.6,460.2996,
Zambia,Temporary meadows and pastures,420861.3,420.8613,
Zambia,Adjusted Arable land,3379138.7,3379.1387,
Kenya,USDA-FAS,2776000,2776,
Rwanda,USDA-FAS,474000,474,
Zambia,USDA-FAS,1374000,1374,
Tanzania,USDA-FAS,6957000,6957,
Malawi,USDA-FAS,2216000,2216,
Uganda,USDA-FAS,2388000,2388,
Rwanda,Official-Cropland,1114000,1114,https://www.statistics.gov.rw/publication/seasonal-agricultural-survey-2019-annual-report
Tanzania,Official-Cropland,16717287,16717.287,https://www.nbs.go.tz/uploads/statistics/documents/sw-1705482872-2019-20_Agri_Census_Atlas.pdf
Zambia,Official-Cropland,2674590,2674.59,https://www.zamstats.gov.zm/agriculture-and-environment/
Kenya,Official-Cropland,6360303,6360.303,https://statistics.kilimo.go.ke/en/1_7/
Uganda,Official-Cropland,4657860,4657.86,https://www.ubos.org/wp-content/uploads/publications/04_2022AAS2019_Report.pdf